DATAFLOW,LAST UPDATE,freq,unit,wstatus,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2010,12.7,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2011,11.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2012,11.4,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2013,9.1,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2014,6.8,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2015,5.2,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2016,7.6,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2017,8.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2018,7.8,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2019,9.0,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2020,11.6,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2021,9.8,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2022,8.2,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2023,10.4,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2024,11.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2002,5.7,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2003,6.5,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2004,6.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2005,6.2,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2006,5.1,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2007,5.2,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2008,5.6,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2009,5.4,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2010,4.9,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2011,4.9,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2012,5.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2013,5.4,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2014,5.5,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2015,6.2,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2016,6.6,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2017,6.7,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2018,6.2,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2019,6.7,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2020,7.6,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2021,6.4,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2022,6.2,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2023,6.4,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2024,5.4,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2000,14.6,u,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2001,12.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2002,12.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2003,12.8,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2004,12.1,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2005,13.5,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2006,13.7,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2007,12.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2008,11.8,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2009,11.1,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2010,11.8,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2011,11.6,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2012,10.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2013,9.8,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2014,9.5,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2015,10.1,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2016,10.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2017,10.1,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2018,10.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2019,10.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2020,10.1,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2021,12.3,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2022,12.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2023,13.0,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2024,12.9,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2000,11.7,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2001,9.2,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2002,9.0,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2003,10.4,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2004,8.8,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2005,8.7,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2006,9.1,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2007,12.9,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2008,12.7,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2009,11.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2010,11.5,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2011,10.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2012,9.6,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2013,8.2,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2014,8.1,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2015,8.1,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2016,7.5,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2017,8.8,b,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2018,10.4,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2019,9.9,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2020,9.3,,
ESTAT:SDG_04_10(1.0),11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2021,9.8,b,
