,last_update,freq,unit,wstatus,age,sex,geo,time_period,obs_value
35,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2006,12.6
36,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2007,12.1
37,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2008,12.0
38,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2009,11.1
39,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2010,11.9
40,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2011,12.3
41,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2012,12.0
42,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2013,11.0
43,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2014,9.8
44,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2015,10.1
45,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2016,8.8
46,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2017,8.9
47,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2018,8.6
48,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2019,8.4
49,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2020,8.1
50,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2021,6.7
51,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2022,6.4
52,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2023,6.2
53,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Belgium,2024,7.0
54,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2001,20.5
55,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2002,20.7
56,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2003,21.9
57,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2004,21.4
58,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2005,20.4
59,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2006,17.3
60,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2007,14.9
61,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2008,14.8
62,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2009,14.7
63,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2010,12.6
64,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2011,11.8
65,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2012,12.5
66,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2013,12.5
67,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2014,12.9
68,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2015,13.4
69,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2016,13.8
70,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2017,12.7
71,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2018,12.7
72,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2019,13.9
73,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2020,12.8
74,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2021,12.0
75,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2022,10.3
76,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2023,9.3
77,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Bulgaria,2024,8.2
78,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2000,7.3
79,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2001,6.6
80,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2002,6.7
81,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2003,9.7
82,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2004,9.5
83,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2005,9.7
84,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2006,9.6
85,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2007,7.6
86,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2008,7.7
87,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2009,9.1
88,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2010,6.7
89,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2011,6.3
90,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2012,5.5
91,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2013,5.6
92,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2014,5.6
93,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2015,5.2
94,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2016,4.9
95,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2017,4.5
96,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2018,4.4
97,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2019,4.4
98,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2020,4.0
99,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2021,5.1
100,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2022,6.5
101,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2023,5.7
102,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Switzerland,2024,5.7
103,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2000,18.5
104,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2001,17.9
105,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2002,15.9
106,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2003,17.3
107,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2004,20.6
108,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2005,18.2
109,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2006,14.9
110,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2007,12.5
111,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2008,13.7
112,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2009,11.7
113,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2010,12.7
114,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2011,11.3
115,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2012,11.4
116,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2013,9.1
117,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2014,6.8
118,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2015,5.2
119,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2016,7.6
120,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2017,8.5
121,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2018,7.8
122,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2019,9.0
123,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2020,11.6
124,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2021,9.8
125,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2022,8.2
126,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2023,10.4
127,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Cyprus,2024,11.3
128,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2002,5.7
129,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2003,6.5
130,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2004,6.3
131,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2005,6.2
132,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2006,5.1
133,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2007,5.2
134,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2008,5.6
135,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2009,5.4
136,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2010,4.9
137,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2011,4.9
138,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2012,5.5
139,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2013,5.4
140,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2014,5.5
141,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2015,6.2
142,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2016,6.6
143,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2017,6.7
144,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2018,6.2
145,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2019,6.7
146,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2020,7.6
147,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2021,6.4
148,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2022,6.2
149,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2023,6.4
150,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Czechia,2024,5.4
151,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2000,14.6
152,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2001,12.3
153,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2002,12.5
154,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2003,12.8
155,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2004,12.1
156,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2005,13.5
157,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2006,13.7
158,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2007,12.5
159,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2008,11.8
160,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2009,11.1
161,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2010,11.8
162,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2011,11.6
163,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2012,10.5
164,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2013,9.8
165,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2014,9.5
166,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2015,10.1
167,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2016,10.3
168,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2017,10.1
169,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2018,10.3
170,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2019,10.3
171,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2020,10.1
172,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2021,12.3
173,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2022,12.5
174,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2023,13.0
175,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Germany,2024,12.9
176,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2000,11.7
177,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2001,9.2
178,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2002,9.0
179,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2003,10.4
180,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2004,8.8
181,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2005,8.7
182,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2006,9.1
183,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2007,12.9
184,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2008,12.7
185,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2009,11.5
186,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2010,11.5
187,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2011,10.3
188,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2012,9.6
189,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2013,8.2
190,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2014,8.1
191,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2015,8.1
192,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2016,7.5
193,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2017,8.8
194,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2018,10.4
195,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2019,9.9
196,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2020,9.3
197,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2021,9.8
198,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2022,10.0
199,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2023,10.4
200,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Denmark,2024,10.4
201,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2002,18.7
202,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2003,18.2
203,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2004,17.7
204,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2005,17.4
205,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2006,17.1
206,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2007,16.5
207,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2008,16.1
208,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2009,15.6
209,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2010,15.2
210,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2011,14.5
211,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2012,13.6
212,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2013,12.7
213,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2014,11.7
214,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2015,11.5
215,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2016,11.0
216,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2017,10.8
217,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2018,10.8
218,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2019,10.5
219,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2020,10.3
220,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2021,9.8
221,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2022,9.8
222,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2023,9.8
223,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Euro area – 20 countries (from 2023),2024,9.7
224,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2000,15.1
225,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2001,14.7
226,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2002,13.6
227,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2003,13.7
228,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2004,13.9
229,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2005,14.0
230,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2006,13.4
231,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2007,14.4
232,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2008,14.0
233,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2009,13.5
234,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2010,11.0
235,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2011,10.6
236,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2012,10.3
237,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2013,9.7
238,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2014,12.0
239,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2015,13.7
240,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2016,11.4
241,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2017,11.8
242,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2018,12.0
243,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2019,11.2
244,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2020,8.5
245,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2021,9.8
246,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2022,10.8
247,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2023,9.7
248,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Estonia,2024,11.0
249,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Greece,2000,18.2
250,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Greece,2001,16.9
251,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Greece,2002,16.2
252,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Greece,2003,15.6
253,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Greece,2004,14.5
254,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Greece,2005,13.3
255,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Greece,2006,15.1
256,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Greece,2007,14.3
257,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Greece,2008,14.4
258,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Greece,2009,14.2
259,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Greece,2010,13.5
260,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Greece,2011,12.9
261,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Greece,2012,11.3
262,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Greece,2013,10.1
263,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Greece,2014,9.0
264,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Greece,2015,7.9
265,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Greece,2016,6.2
266,11/12/25 23:00:00,Annual,Percentage,Population,From 18 to 24 years,Total,Greece,2017,6.0
