,structure_name,age,sex,unit_of_measure,geo,time_period,obs_value
25,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Netherlands,2023,5.2
26,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Norway,2023,10.4
27,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Poland,2023,2.4
28,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Portugal,2023,6.1
29,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Romania,2023,16.7
30,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Serbia,2023,5.9
31,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Sweden,2023,6.2
32,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Slovenia,2023,4.9
33,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Slovakia,2023,6.0
34,Early leavers from education and training by sex,From 18 to 24 years,Females,Percentage,Türkiye,2023,19.0
35,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Austria,2023,9.3
36,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Bosnia and Herzegovina,2023,5.2
37,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Belgium,2023,7.9
38,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Bulgaria,2023,9.4
39,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Switzerland,2023,6.2
40,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Cyprus,2023,11.3
41,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Czechia,2023,6.4
42,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Germany,2023,15.4
43,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Denmark,2023,11.8
44,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Estonia,2023,11.4
45,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Greece,2023,3.8
46,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Spain,2023,16.0
47,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,European Union - 27 countries (from 2020),2023,11.3
48,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Finland,2023,11.9
49,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,France,2023,9.5
50,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Croatia,2023,2.7
51,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Hungary,2023,12.7
52,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Ireland,2023,5.1
53,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Iceland,2023,22.1
54,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Italy,2023,13.1
55,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Lithuania,2023,6.6
56,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Luxembourg,2023,8.5
57,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Latvia,2023,10.0
58,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,North Macedonia,2023,8.6
59,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Malta,2023,12.5
60,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Netherlands,2023,7.2
61,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Norway,2023,14.6
62,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Poland,2023,4.9
63,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Portugal,2023,10.0
64,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Romania,2023,16.5
65,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Serbia,2023,5.8
66,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Sweden,2023,8.6
67,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Slovenia,2023,5.8
68,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Slovakia,2023,6.8
69,Early leavers from education and training by sex,From 18 to 24 years,Males,Percentage,Türkiye,2023,20.1
